member_id,name,party,state,chamber,ideology_score,votes_with_party,bills_sponsored,committee_leadership,tenure
455,Member 455,Democrat,AK,Senate,-0.731,83.5,11,0,4
456,Member 456,Democrat,OH,Senate,-0.47,100,14,0,36
457,Member 457,Democrat,NJ,Senate,-0.319,91,31,0,38
458,Member 458,Republican,MS,Senate,0.197,93.4,19,0,16
459,Member 459,Democrat,MS,Senate,-0.98,100,47,0,22
460,Member 460,Democrat,VA,Senate,-0.366,89.6,28,1,1
461,Member 461,Democrat,AK,Senate,-0.012,78.8,24,0,13
462,Member 462,Democrat,CO,Senate,-0.84,86.6,48,0,11
463,Member 463,Republican,WV,Senate,-0.126,83.7,25,0,35
464,Member 464,Democrat,VT,Senate,-0.102,93,21,0,5
465,Member 465,Democrat,CT,Senate,-0.494,93,29,2,11
466,Member 466,Republican,GA,Senate,0.584,100,23,0,25
467,Member 467,Republican,PA,Senate,0.366,97.1,22,0,14
468,Member 468,Democrat,NV,Senate,-0.243,76.6,11,0,34
469,Member 469,Republican,VT,Senate,0.303,89.4,2,1,13
470,Member 470,Democrat,IA,Senate,-0.425,97,48,0,12
471,Member 471,Republican,MT,Senate,0.257,100,45,1,11
472,Member 472,Republican,IL,Senate,0.933,100,0,0,35
473,Member 473,Republican,KY,Senate,0.889,99.8,14,0,9
474,Member 474,Democrat,RI,Senate,-0.902,86,17,0,22
475,Member 475,Republican,CA,Senate,1.485,100,37,0,31
476,Member 476,Republican,OR,Senate,0.682,95.6,20,0,13
477,Member 477,Democrat,NE,Senate,-1.299,87.1,31,0,37
478,Member 478,Republican,UT,Senate,0.032,86.2,16,1,22
479,Member 479,Democrat,AL,Senate,-0.591,94.6,4,0,1
480,Member 480,Democrat,TN,Senate,-0.944,81,17,0,23
481,Member 481,Democrat,AL,Senate,-0.202,73.7,16,0,24
482,Member 482,Republican,OR,Senate,1.364,100,41,0,15
483,Member 483,Republican,GA,Senate,1.015,89.7,1,0,35
484,Member 484,Republican,VA,Senate,1.155,96,35,2,24
485,Member 485,Republican,WI,Senate,1.063,99.6,40,1,36
486,Member 486,Republican,ND,Senate,0.308,100,3,2,33
487,Member 487,Democrat,CA,Senate,0.099,92.7,1,0,29
488,Member 488,Democrat,KS,Senate,0.424,98.5,4,0,17
489,Member 489,Democrat,IA,Senate,0.098,83.5,37,0,3
490,Member 490,Democrat,ME,Senate,-0.987,83.9,39,0,39
491,Member 491,Republican,CA,Senate,0.115,88,9,0,7
492,Member 492,Democrat,ID,Senate,0.719,85,8,0,5
493,Member 493,Democrat,UT,Senate,-0.055,99.2,12,0,32
494,Member 494,Republican,NV,Senate,0.072,89.9,38,3,13
495,Member 495,Republican,NV,Senate,0.802,84.6,9,0,23
496,Member 496,Republican,SC,Senate,0.633,98.9,44,0,6
497,Member 497,Republican,GA,Senate,0.375,90.1,17,0,20
498,Member 498,Democrat,DE,Senate,-0.357,79.6,46,0,9
499,Member 499,Republican,VT,Senate,0.397,87,8,0,18
500,Member 500,Democrat,OH,Senate,-0.662,86.7,20,0,28
501,Member 501,Democrat,ME,Senate,0.874,91.6,29,0,5
502,Member 502,Republican,AZ,Senate,0.543,89,22,1,1
503,Member 503,Republican,KS,Senate,0.394,88.4,33,0,12
504,Member 504,Democrat,AR,Senate,0.568,94.8,25,0,30
505,Member 505,Democrat,IL,Senate,0.009,94.2,31,0,10
506,Member 506,Democrat,LA,Senate,-1.108,100,48,1,14
507,Member 507,Democrat,CA,Senate,-0.731,86.5,26,1,20
508,Member 508,Democrat,VT,Senate,-0.465,95.4,0,0,32
509,Member 509,Republican,MD,Senate,-0.026,94.4,29,0,9
510,Member 510,Republican,CT,Senate,1.229,98.7,8,0,3
511,Member 511,Democrat,ME,Senate,0.183,81.3,47,0,9
512,Member 512,Republican,NH,Senate,0.301,75.2,47,0,5
513,Member 513,Republican,TX,Senate,0.615,94.9,45,0,22
514,Member 514,Democrat,AR,Senate,-0.916,93.1,0,0,18
515,Member 515,Republican,MS,Senate,0.345,90.2,44,0,30
516,Member 516,Democrat,WI,Senate,-0.321,83.9,21,0,21
517,Member 517,Democrat,AK,Senate,-0.648,100,21,0,23
518,Member 518,Republican,WY,Senate,0.156,87.3,22,0,24
519,Member 519,Democrat,OR,Senate,0.286,96.2,20,2,5
520,Member 520,Republican,CA,Senate,-0.469,97.9,28,0,40
521,Member 521,Republican,NC,Senate,0.762,95.1,16,0,40
522,Member 522,Republican,ND,Senate,0.421,91.3,47,0,38
523,Member 523,Republican,CO,Senate,0.338,89.9,41,0,16
524,Member 524,Democrat,AK,Senate,-0.591,100,34,0,35
525,Member 525,Republican,UT,Senate,0.834,89.6,34,1,7
526,Member 526,Democrat,OR,Senate,-0.287,95.3,36,0,22
527,Member 527,Republican,IA,Senate,0.93,99.6,33,1,21
528,Member 528,Democrat,PA,Senate,-0.48,84.4,32,0,26
529,Member 529,Democrat,IA,Senate,-0.039,100,39,0,14
530,Member 530,Democrat,VT,Senate,-0.52,89,45,0,12
531,Member 531,Democrat,MS,Senate,-0.336,95,26,1,27
532,Member 532,Democrat,RI,Senate,0.134,93.3,11,1,40
533,Member 533,Democrat,OK,Senate,-0.314,91.6,28,2,2
534,Member 534,Republican,AR,Senate,-0.186,75,1,0,31
535,Member 535,Democrat,PA,Senate,0.299,94.1,47,0,23
